trace,source,destination,rpcCall,rpcNumber,rpcStartTime,rpcTimestamp
4943622728650fea,,4943622728650fea,nginx-web-server+/wrk2-api/post/compose,1,1635326802116000,2021-10-27 09:26:42.116000
4943622728650fea,4943622728650fea,22f2ad4316167b0a,nginx-web-server+/wrk2-api/post/compose,1,1635326802116394,2021-10-27 09:26:42.116394
4943622728650fea,22f2ad4316167b0a,1674cdfa4b393756,nginx-web-server+ComposePost,2,1635326802117700,2021-10-27 09:26:42.117700
4943622728650fea,1674cdfa4b393756,f54badacecb915f6,media-service+UploadMedia,3,1635326802120081,2021-10-27 09:26:42.120081
4943622728650fea,1674cdfa4b393756,1459b3b889c44b91,user-service+UploadUserWithUserId,4,1635326802120117,2021-10-27 09:26:42.120117
4943622728650fea,1674cdfa4b393756,ce62bb5a44250501,unique-id-service+UploadUniqueId,5,1635326802120310,2021-10-27 09:26:42.120310
4943622728650fea,1674cdfa4b393756,d63eab044df64f01,text-service+UploadText,6,1635326802120909,2021-10-27 09:26:42.120909
4943622728650fea,d63eab044df64f01,c9cf670372bd5b6e,user-mention-service+UploadUserMentions,7,1635326802125045,2021-10-27 09:26:42.125045
4943622728650fea,d63eab044df64f01,8f20977eafebfaf0,url-shorten-service+UploadUrls,8,1635326802125045,2021-10-27 09:26:42.125045
4943622728650fea,ce62bb5a44250501,a4155eaba1ae19e,compose-post-service+UploadUniqueId,9,1635326802130542,2021-10-27 09:26:42.130542
4943622728650fea,f54badacecb915f6,16a2e44c2bb5f6bf,compose-post-service+UploadMedia,10,1635326802130853,2021-10-27 09:26:42.130853
4943622728650fea,8f20977eafebfaf0,f7a7a6c2d9fca27e,compose-post-service+UploadUrls,11,1635326802130923,2021-10-27 09:26:42.130923
4943622728650fea,c9cf670372bd5b6e,fbbaeacb89bc9b08,compose-post-service+UploadUserMentions,12,1635326802131368,2021-10-27 09:26:42.131368
74317f43bb977d6c,,74317f43bb977d6c,nginx-web-server+/api/user/login,13,1635326802140000,2021-10-27 09:26:42.140000
74317f43bb977d6c,74317f43bb977d6c,2c5021f1d49b66b1,nginx-web-server+/api/user/login,13,1635326802140083,2021-10-27 09:26:42.140083
