Node,traceID,nodeID,node_pair,StartTime,Timestamp
0,2dbd689ba005b92c,2dbd689ba005b92c,"(0, 1)",1669531459252000,2022-11-27 06:44:19.252000
1,2dbd689ba005b92c,4c97110d26807acf,"(1, 1)",1669531459253042,2022-11-27 06:44:19.253042
2,2dbd689ba005b92c,9c8e4a33ce44ef7c,"(1, 2)",1669531459253192,2022-11-27 06:44:19.253192
3,2dbd689ba005b92c,15ced0169ec2d4fc,"(2, 3)",1669531459253841,2022-11-27 06:44:19.253841
4,1eda4b436d89607d,1eda4b436d89607d,"(0, 4)",1669531459376000,2022-11-27 06:44:19.376000
5,1eda4b436d89607d,a60116832166c5f8,"(4, 4)",1669531459376392,2022-11-27 06:44:19.376392
6,1eda4b436d89607d,84446db871ee7541,"(4, 5)",1669531459378512,2022-11-27 06:44:19.378512
7,1eda4b436d89607d,f54145d213acd3c,"(5, 6)",1669531459384652,2022-11-27 06:44:19.384652
8,1eda4b436d89607d,b4596e61f1b0b1ca,"(6, 7)",1669531459384661,2022-11-27 06:44:19.384661
9,1eda4b436d89607d,ab5f439d83780351,"(6, 8)",1669531459385639,2022-11-27 06:44:19.385639
10,1eda4b436d89607d,797f7773fa2a2439,"(8, 9)",1669531459385707,2022-11-27 06:44:19.385707
11,1eda4b436d89607d,f3508e565abd36ea,"(8, 10)",1669531459385899,2022-11-27 06:44:19.385899
12,1eda4b436d89607d,224aab835ad2f32b,"(8, 11)",1669531459389164,2022-11-27 06:44:19.389164
13,f61ca3cd2ce7086,f61ca3cd2ce7086,"(0, 12)",1669531459505000,2022-11-27 06:44:19.505000
14,f61ca3cd2ce7086,aa1ba684f434139d,"(12, 12)",1669531459505490,2022-11-27 06:44:19.505490
15,f61ca3cd2ce7086,1e0c3e7ca4eb08a9,"(12, 13)",1669531459505570,2022-11-27 06:44:19.505570
16,f61ca3cd2ce7086,1400bceb8190d5fa,"(13, 14)",1669531459505777,2022-11-27 06:44:19.505777
17,f61ca3cd2ce7086,24ad368cdc2df60f,"(14, 15)",1669531459505867,2022-11-27 06:44:19.505867
18,f61ca3cd2ce7086,e519b7c541401cca,"(14, 16)",1669531459505924,2022-11-27 06:44:19.505924
19,f61ca3cd2ce7086,b6bd017d67328e5,"(14, 17)",1669531459505952,2022-11-27 06:44:19.505952
20,f61ca3cd2ce7086,6687f4179420e13e,"(14, 18)",1669531459506009,2022-11-27 06:44:19.506009
25,f61ca3cd2ce7086,31fa33593383f8b8,"(16, 19)",1669531459506034,2022-11-27 06:44:19.506034
24,f61ca3cd2ce7086,80fdc303c1856bb1,"(15, 20)",1669531459506103,2022-11-27 06:44:19.506103
26,f61ca3cd2ce7086,df91b278b307c0a6,"(17, 21)",1669531459506181,2022-11-27 06:44:19.506181
28,f61ca3cd2ce7086,868d2bdeacf83825,"(20, 22)",1669531459506397,2022-11-27 06:44:19.506397
27,f61ca3cd2ce7086,d7d18e0ae21b253a,"(18, 23)",1669531459506420,2022-11-27 06:44:19.506420
29,f61ca3cd2ce7086,25e8ebd42a9dd3de,"(20, 24)",1669531459506542,2022-11-27 06:44:19.506542
30,f61ca3cd2ce7086,17d0d3651377dcba,"(22, 25)",1669531459506676,2022-11-27 06:44:19.506676
32,f61ca3cd2ce7086,ac5d2e6955a5860b,"(25, 26)",1669531459506690,2022-11-27 06:44:19.506690
31,f61ca3cd2ce7086,3732fa7d1e6acc0e,"(24, 27)",1669531459506929,2022-11-27 06:44:19.506929
34,f61ca3cd2ce7086,7909c5e9e884e667,"(27, 28)",1669531459507014,2022-11-27 06:44:19.507014
33,f61ca3cd2ce7086,efacf224b901a395,"(25, 29)",1669531459507135,2022-11-27 06:44:19.507135
21,f61ca3cd2ce7086,5c96f52dc3484d1a,"(14, 30)",1669531459509072,2022-11-27 06:44:19.509072
35,f61ca3cd2ce7086,a32354896f245e20,"(30, 31)",1669531459509192,2022-11-27 06:44:19.509192
36,f61ca3cd2ce7086,8b20493217358aad,"(31, 32)",1669531459509219,2022-11-27 06:44:19.509219
22,f61ca3cd2ce7086,ef76a31a53452bf7,"(14, 33)",1669531459509787,2022-11-27 06:44:19.509787
37,f61ca3cd2ce7086,eadcecb3d5889a70,"(33, 34)",1669531459509902,2022-11-27 06:44:19.509902
38,f61ca3cd2ce7086,880032598f3283b3,"(34, 35)",1669531459509926,2022-11-27 06:44:19.509926
39,f61ca3cd2ce7086,a30ea494ab0e6ba7,"(34, 36)",1669531459510524,2022-11-27 06:44:19.510524
23,f61ca3cd2ce7086,af278708068fbdec,"(14, 37)",1669531459511420,2022-11-27 06:44:19.511420
40,f61ca3cd2ce7086,abf1bd0aa6f8434b,"(37, 38)",1669531459511536,2022-11-27 06:44:19.511536
41,f61ca3cd2ce7086,fd57524ca5e50631,"(38, 39)",1669531459511540,2022-11-27 06:44:19.511540
43,f61ca3cd2ce7086,1ab27fa9622b9775,"(39, 40)",1669531459511639,2022-11-27 06:44:19.511639
44,f61ca3cd2ce7086,55cb4b1943b30ae7,"(40, 41)",1669531459511649,2022-11-27 06:44:19.511649
42,f61ca3cd2ce7086,52c71e08e1ffe921,"(38, 42)",1669531459512449,2022-11-27 06:44:19.512449
45,21939752e127c1c3,f61ca3cd2ce7086,"(0, 12)",1669531459546000,2022-11-27 06:44:19.546000
46,21939752e127c1c3,aa1ba684f434139d,"(12, 12)",1669531459546121,2022-11-27 06:44:19.546121
47,21939752e127c1c3,1e0c3e7ca4eb08a9,"(12, 13)",1669531459546237,2022-11-27 06:44:19.546237
48,21939752e127c1c3,1400bceb8190d5fa,"(13, 14)",1669531459546479,2022-11-27 06:44:19.546479
49,21939752e127c1c3,24ad368cdc2df60f,"(14, 15)",1669531459546595,2022-11-27 06:44:19.546595
50,21939752e127c1c3,6687f4179420e13e,"(14, 18)",1669531459546722,2022-11-27 06:44:19.546722
56,21939752e127c1c3,80fdc303c1856bb1,"(15, 20)",1669531459546722,2022-11-27 06:44:19.546722
51,21939752e127c1c3,b6bd017d67328e5,"(14, 17)",1669531459546789,2022-11-27 06:44:19.546789
52,21939752e127c1c3,e519b7c541401cca,"(14, 16)",1669531459546840,2022-11-27 06:44:19.546840
59,21939752e127c1c3,d7d18e0ae21b253a,"(18, 23)",1669531459546925,2022-11-27 06:44:19.546925
57,21939752e127c1c3,868d2bdeacf83825,"(20, 22)",1669531459547023,2022-11-27 06:44:19.547023
60,21939752e127c1c3,df91b278b307c0a6,"(17, 21)",1669531459547091,2022-11-27 06:44:19.547091
58,21939752e127c1c3,25e8ebd42a9dd3de,"(20, 24)",1669531459547092,2022-11-27 06:44:19.547092
63,21939752e127c1c3,3732fa7d1e6acc0e,"(24, 27)",1669531459547191,2022-11-27 06:44:19.547191
61,21939752e127c1c3,31fa33593383f8b8,"(16, 19)",1669531459547231,2022-11-27 06:44:19.547231
62,21939752e127c1c3,17d0d3651377dcba,"(22, 25)",1669531459547372,2022-11-27 06:44:19.547372
65,21939752e127c1c3,ac5d2e6955a5860b,"(25, 26)",1669531459547387,2022-11-27 06:44:19.547387
64,21939752e127c1c3,7909c5e9e884e667,"(27, 28)",1669531459547627,2022-11-27 06:44:19.547627
66,21939752e127c1c3,efacf224b901a395,"(25, 29)",1669531459547967,2022-11-27 06:44:19.547967
53,21939752e127c1c3,5c96f52dc3484d1a,"(14, 30)",1669531459549741,2022-11-27 06:44:19.549741
67,21939752e127c1c3,a32354896f245e20,"(30, 31)",1669531459549867,2022-11-27 06:44:19.549867
68,21939752e127c1c3,8b20493217358aad,"(31, 32)",1669531459549892,2022-11-27 06:44:19.549892
54,21939752e127c1c3,ef76a31a53452bf7,"(14, 33)",1669531459550448,2022-11-27 06:44:19.550448
69,21939752e127c1c3,eadcecb3d5889a70,"(33, 34)",1669531459550590,2022-11-27 06:44:19.550590
70,21939752e127c1c3,880032598f3283b3,"(34, 35)",1669531459550631,2022-11-27 06:44:19.550631
71,21939752e127c1c3,a30ea494ab0e6ba7,"(34, 36)",1669531459551223,2022-11-27 06:44:19.551223
55,21939752e127c1c3,af278708068fbdec,"(14, 37)",1669531459551533,2022-11-27 06:44:19.551533
72,21939752e127c1c3,abf1bd0aa6f8434b,"(37, 38)",1669531459551645,2022-11-27 06:44:19.551645
73,21939752e127c1c3,fd57524ca5e50631,"(38, 39)",1669531459551649,2022-11-27 06:44:19.551649
75,21939752e127c1c3,1ab27fa9622b9775,"(39, 40)",1669531459551744,2022-11-27 06:44:19.551744
76,21939752e127c1c3,55cb4b1943b30ae7,"(40, 41)",1669531459551754,2022-11-27 06:44:19.551754
74,21939752e127c1c3,52c71e08e1ffe921,"(38, 42)",1669531459552723,2022-11-27 06:44:19.552723
77,203ef05326681d91,1eda4b436d89607d,"(0, 4)",1669531459830000,2022-11-27 06:44:19.830000
79,2638df6940da0865,2638df6940da0865,"(0, 43)",1669531459830000,2022-11-27 06:44:19.830000
80,2638df6940da0865,51ee2a2e57e2ca7f,"(43, 43)",1669531459830840,2022-11-27 06:44:19.830840
81,2638df6940da0865,f2fcf16176edf615,"(43, 44)",1669531459830902,2022-11-27 06:44:19.830902
78,203ef05326681d91,a60116832166c5f8,"(4, 4)",1669531459831123,2022-11-27 06:44:19.831123
82,2638df6940da0865,7b435c0c78766e60,"(44, 45)",1669531459831133,2022-11-27 06:44:19.831133
84,2638df6940da0865,a7fecafeb1f72abb,"(45, 46)",1669531459831144,2022-11-27 06:44:19.831144
83,203ef05326681d91,84446db871ee7541,"(4, 5)",1669531459831157,2022-11-27 06:44:19.831157
