trace,source,destination,rpcCall,rpcNumber,rpcStartTime,rpcTimestamp
31997733e8b2ec22,,31997733e8b2ec22,nginx-web-server+/wrk2-api/home-timeline/read,1,1669695896798000,2022-11-29 04:24:56.798000
31997733e8b2ec22,31997733e8b2ec22,b0686eb6bf2c0cfa,nginx-web-server+/wrk2-api/home-timeline/read,1,1669695896798586,2022-11-29 04:24:56.798586
31997733e8b2ec22,b0686eb6bf2c0cfa,7886c008c689bf9,nginx-web-server+read_home_timeline_client,2,1669695896798639,2022-11-29 04:24:56.798639
31997733e8b2ec22,7886c008c689bf9,400c7388e746e775,home-timeline-service+read_home_timeline_server,3,1669695896800927,2022-11-29 04:24:56.800927
31997733e8b2ec22,400c7388e746e775,e29f6d6905482228,home-timeline-service+read_home_timeline_redis_find_client,4,1669695896800936,2022-11-29 04:24:56.800936
31997733e8b2ec22,400c7388e746e775,d266b6381362b765,post-storage-service+post_storage_read_posts_server,5,1669695896803916,2022-11-29 04:24:56.803916
31997733e8b2ec22,d266b6381362b765,e308a14319560093,post-storage-service+post_storage_mmc_mget_client,6,1669695896803972,2022-11-29 04:24:56.803972
31997733e8b2ec22,d266b6381362b765,d22cabc940a3b662,post-storage-service+mongo_find_client,7,1669695896804121,2022-11-29 04:24:56.804121
31997733e8b2ec22,d266b6381362b765,25468396579277f6,post-storage-service+mmc_set_client,8,1669695896806220,2022-11-29 04:24:56.806220
bfecf71e8b12df9,,bfecf71e8b12df9,nginx-web-server+/wrk2-api/home-timeline/read,1,1669695896876000,2022-11-29 04:24:56.876000
bfecf71e8b12df9,bfecf71e8b12df9,b0ec1e8bb892a966,nginx-web-server+/wrk2-api/home-timeline/read,1,1669695896876386,2022-11-29 04:24:56.876386
bfecf71e8b12df9,b0ec1e8bb892a966,e5a53924a10b24aa,nginx-web-server+read_home_timeline_client,2,1669695896876434,2022-11-29 04:24:56.876434
bfecf71e8b12df9,e5a53924a10b24aa,7a3b374043990ada,home-timeline-service+read_home_timeline_server,3,1669695896878460,2022-11-29 04:24:56.878460
bfecf71e8b12df9,7a3b374043990ada,f682b2f1c607c0d3,home-timeline-service+read_home_timeline_redis_find_client,4,1669695896878471,2022-11-29 04:24:56.878471
bfecf71e8b12df9,7a3b374043990ada,63d5ce2b9a457965,post-storage-service+post_storage_read_posts_server,5,1669695896879465,2022-11-29 04:24:56.879465
bfecf71e8b12df9,63d5ce2b9a457965,d0588b144c74f5a6,post-storage-service+post_storage_mmc_mget_client,6,1669695896879538,2022-11-29 04:24:56.879538
bfecf71e8b12df9,63d5ce2b9a457965,b07f5618c09f2dd,post-storage-service+mongo_find_client,7,1669695896880152,2022-11-29 04:24:56.880152
bfecf71e8b12df9,63d5ce2b9a457965,648460511b66d1dc,post-storage-service+mmc_set_client,8,1669695896881018,2022-11-29 04:24:56.881018
15629cf7f3e0d1a0,,15629cf7f3e0d1a0,nginx-web-server+/wrk2-api/post/compose,9,1669695896964000,2022-11-29 04:24:56.964000
15629cf7f3e0d1a0,15629cf7f3e0d1a0,c1ddfcec0911b1bd,nginx-web-server+/wrk2-api/post/compose,9,1669695896964097,2022-11-29 04:24:56.964097
15629cf7f3e0d1a0,c1ddfcec0911b1bd,316b1607912447e8,nginx-web-server+compose_post_client,10,1669695896964203,2022-11-29 04:24:56.964203
15629cf7f3e0d1a0,316b1607912447e8,b80cc1fb535d97d9,compose-post-service+compose_post_server,11,1669695896964404,2022-11-29 04:24:56.964404
15629cf7f3e0d1a0,b80cc1fb535d97d9,ca139036670cc34,compose-post-service+compose_text_client,12,1669695896964500,2022-11-29 04:24:56.964500
15629cf7f3e0d1a0,b80cc1fb535d97d9,7adee703d3e75754,compose-post-service+compose_unique_id_client,13,1669695896964540,2022-11-29 04:24:56.964540
15629cf7f3e0d1a0,b80cc1fb535d97d9,3a09c47b7efba021,compose-post-service+compose_media_client,14,1669695896964567,2022-11-29 04:24:56.964567
15629cf7f3e0d1a0,b80cc1fb535d97d9,43cb4feef8774185,compose-post-service+compose_creator_client,15,1669695896964614,2022-11-29 04:24:56.964614
15629cf7f3e0d1a0,7adee703d3e75754,22d6b0ff61c8482,unique-id-service+compose_unique_id_server,16,1669695896964665,2022-11-29 04:24:56.964665
15629cf7f3e0d1a0,ca139036670cc34,8a6ab83cd8091a54,text-service+compose_text_server,17,1669695896964708,2022-11-29 04:24:56.964708
15629cf7f3e0d1a0,3a09c47b7efba021,1074969c780e86f4,media-service+compose_media_server,18,1669695896964779,2022-11-29 04:24:56.964779
15629cf7f3e0d1a0,8a6ab83cd8091a54,4ab8fc160a64d6c1,text-service+compose_user_mentions_client,19,1669695896964991,2022-11-29 04:24:56.964991
15629cf7f3e0d1a0,8a6ab83cd8091a54,231f9cf13d3ade34,text-service+compose_urls_client,20,1669695896965050,2022-11-29 04:24:56.965050
15629cf7f3e0d1a0,43cb4feef8774185,b2cdbc0defc256d6,user-service+compose_creator_server,21,1669695896965142,2022-11-29 04:24:56.965142
15629cf7f3e0d1a0,4ab8fc160a64d6c1,69325e756783200a,user-mention-service+compose_user_mentions_server,22,1669695896965302,2022-11-29 04:24:56.965302
15629cf7f3e0d1a0,69325e756783200a,3131ecd5e6ac0333,user-mention-service+compose_user_mentions_memcached_get_client,23,1669695896965316,2022-11-29 04:24:56.965316
15629cf7f3e0d1a0,231f9cf13d3ade34,42e8049214a68f2,url-shorten-service+compose_urls_server,24,1669695896965534,2022-11-29 04:24:56.965534
15629cf7f3e0d1a0,42e8049214a68f2,9d89fa2ed8db05c1,url-shorten-service+url_mongo_insert_client,25,1669695896965614,2022-11-29 04:24:56.965614
