Node,traceID,nodeID,node_pair,StartTime,Timestamp
0,70e6da5116dd1c5,b5f92c82e6ef98e2,"(0, 1)",1669361909231510,2022-11-25 07:38:29.231510
1,251808373858876e,b5f92c82e6ef98e2,"(0, 1)",1669361909232104,2022-11-25 07:38:29.232104
2,1574deef053c7a28,b5f92c82e6ef98e2,"(0, 1)",1669361909232711,2022-11-25 07:38:29.232711
3,3226fdfb7792d92e,b5f92c82e6ef98e2,"(0, 1)",1669361909233308,2022-11-25 07:38:29.233308
4,6020096aaaefd23,b5f92c82e6ef98e2,"(0, 1)",1669361909234380,2022-11-25 07:38:29.234380
5,16d3680227d02ac9,b5f92c82e6ef98e2,"(0, 1)",1669361909234451,2022-11-25 07:38:29.234451
6,2445b2f270348e63,b5f92c82e6ef98e2,"(0, 1)",1669361909234609,2022-11-25 07:38:29.234609
7,1e6d3f3116455743,b5f92c82e6ef98e2,"(0, 1)",1669361909234650,2022-11-25 07:38:29.234650
8,2dc77b716eec907e,b5f92c82e6ef98e2,"(0, 1)",1669361909234792,2022-11-25 07:38:29.234792
9,3303734a8405ad54,b5f92c82e6ef98e2,"(0, 1)",1669361909234823,2022-11-25 07:38:29.234823
10,24aa0bae9894345f,b5f92c82e6ef98e2,"(0, 1)",1669361909235049,2022-11-25 07:38:29.235049
11,238ba83ed1fcee97,b5f92c82e6ef98e2,"(0, 1)",1669361909235300,2022-11-25 07:38:29.235300
12,1721e6345ce96a29,b5f92c82e6ef98e2,"(0, 1)",1669361909235865,2022-11-25 07:38:29.235865
13,1a1c31456c620d7a,b5f92c82e6ef98e2,"(0, 1)",1669361909236161,2022-11-25 07:38:29.236161
14,2b82fbcefb533add,b5f92c82e6ef98e2,"(0, 1)",1669361909236324,2022-11-25 07:38:29.236324
15,ba7e3878b30c893,b5f92c82e6ef98e2,"(0, 1)",1669361909236429,2022-11-25 07:38:29.236429
16,26e1c0a1e7b65a4d,b5f92c82e6ef98e2,"(0, 1)",1669361909236533,2022-11-25 07:38:29.236533
17,1e6066f139678897,b5f92c82e6ef98e2,"(0, 1)",1669361909236620,2022-11-25 07:38:29.236620
18,10c845bdf9598f24,b5f92c82e6ef98e2,"(0, 1)",1669361909236665,2022-11-25 07:38:29.236665
19,18bdc0deca803943,b5f92c82e6ef98e2,"(0, 1)",1669361909236814,2022-11-25 07:38:29.236814
20,1e03f4e5d6ffa48f,b5f92c82e6ef98e2,"(0, 1)",1669361909236980,2022-11-25 07:38:29.236980
21,382a17bd2fe9b38,b5f92c82e6ef98e2,"(0, 1)",1669361909237020,2022-11-25 07:38:29.237020
22,1d986e1ca3d336c,b5f92c82e6ef98e2,"(0, 1)",1669361909237288,2022-11-25 07:38:29.237288
23,ecaf0cf638f0dbb,b5f92c82e6ef98e2,"(0, 1)",1669361909237295,2022-11-25 07:38:29.237295
24,2d36a447d93e269b,b5f92c82e6ef98e2,"(0, 1)",1669361909237601,2022-11-25 07:38:29.237601
25,1e9470952afa07a3,b5f92c82e6ef98e2,"(0, 1)",1669361909237610,2022-11-25 07:38:29.237610
26,41f92cc6265c42a,b5f92c82e6ef98e2,"(0, 1)",1669361909237809,2022-11-25 07:38:29.237809
27,182b9776ab17c2d,b5f92c82e6ef98e2,"(0, 1)",1669361909238033,2022-11-25 07:38:29.238033
28,1385dc63ba07bd84,b5f92c82e6ef98e2,"(0, 1)",1669361909238117,2022-11-25 07:38:29.238117
29,bae6d80ae553e1f,b5f92c82e6ef98e2,"(0, 1)",1669361909238660,2022-11-25 07:38:29.238660
30,329f6dce00360ffa,b5f92c82e6ef98e2,"(0, 1)",1669361909238727,2022-11-25 07:38:29.238727
31,22b9c1eab281cc67,b5f92c82e6ef98e2,"(0, 1)",1669361909238800,2022-11-25 07:38:29.238800
32,287c6365eb6c7de0,b5f92c82e6ef98e2,"(0, 1)",1669361909242182,2022-11-25 07:38:29.242182
33,1751d54eda9eefe4,b5f92c82e6ef98e2,"(0, 1)",1669361909266907,2022-11-25 07:38:29.266907
34,7c74b7d1040b1a4,b5f92c82e6ef98e2,"(0, 1)",1669361909291959,2022-11-25 07:38:29.291959
35,14b29a66b7824a72,b5f92c82e6ef98e2,"(0, 1)",1669361909292881,2022-11-25 07:38:29.292881
36,18c0a1d8036c352d,b5f92c82e6ef98e2,"(0, 1)",1669361909294718,2022-11-25 07:38:29.294718
37,2e76741206c0a5d5,b5f92c82e6ef98e2,"(0, 1)",1669361909295228,2022-11-25 07:38:29.295228
38,28bc1aa751c2c34a,b5f92c82e6ef98e2,"(0, 1)",1669361909299802,2022-11-25 07:38:29.299802
39,5bf23fc4b3362b8,b5f92c82e6ef98e2,"(0, 1)",1669361909301495,2022-11-25 07:38:29.301495
40,d47aa5bffd6bdda,b5f92c82e6ef98e2,"(0, 1)",1669361909340355,2022-11-25 07:38:29.340355
41,21c73b8cdcfd8486,b5f92c82e6ef98e2,"(0, 1)",1669361909342135,2022-11-25 07:38:29.342135
42,6e63718f5276be1,b5f92c82e6ef98e2,"(0, 1)",1669361909345327,2022-11-25 07:38:29.345327
43,217f15f219f2a803,b5f92c82e6ef98e2,"(0, 1)",1669361909345850,2022-11-25 07:38:29.345850
44,24f1d539c7cf95f9,b5f92c82e6ef98e2,"(0, 1)",1669361909346842,2022-11-25 07:38:29.346842
45,2b242018b2031843,b5f92c82e6ef98e2,"(0, 1)",1669361909583677,2022-11-25 07:38:29.583677
46,aa3061dbfe79063,b5f92c82e6ef98e2,"(0, 1)",1669361909583910,2022-11-25 07:38:29.583910
47,2cbbe46541582e09,b5f92c82e6ef98e2,"(0, 1)",1669361909584087,2022-11-25 07:38:29.584087
48,2fbcacd84286a3a4,b5f92c82e6ef98e2,"(0, 1)",1669361909584343,2022-11-25 07:38:29.584343
