nodeID,source,destination,source_call,destination_call
4943622728650fea,0,1,,nginx-web-server+/wrk2-api/post/compose
1674cdfa4b393756,1,2,nginx-web-server+/wrk2-api/post/compose,nginx-web-server+ComposePost
f54badacecb915f6,2,3,nginx-web-server+ComposePost,media-service+UploadMedia
1459b3b889c44b91,2,4,nginx-web-server+ComposePost,user-service+UploadUserWithUserId
ce62bb5a44250501,2,5,nginx-web-server+ComposePost,unique-id-service+UploadUniqueId
d63eab044df64f01,2,6,nginx-web-server+ComposePost,text-service+UploadText
16a2e44c2bb5f6bf,3,10,media-service+UploadMedia,compose-post-service+UploadMedia
e9ece7653c3acf2c,4,15,user-service+UploadUserWithUserId,compose-post-service+UploadCreator
a4155eaba1ae19e,5,9,unique-id-service+UploadUniqueId,compose-post-service+UploadUniqueId
c9cf670372bd5b6e,6,7,text-service+UploadText,user-mention-service+UploadUserMentions
8f20977eafebfaf0,6,8,text-service+UploadText,url-shorten-service+UploadUrls
87e057bcc176d847,6,21,text-service+UploadText,compose-post-service+UploadText
fbbaeacb89bc9b08,7,12,user-mention-service+UploadUserMentions,compose-post-service+UploadUserMentions
f7a7a6c2d9fca27e,8,11,url-shorten-service+UploadUrls,compose-post-service+UploadUrls
777df3d1528e12f0,9,19,compose-post-service+UploadUniqueId,compose-post-service+RedisHashSet
8fcacd03104e4f56,10,19,compose-post-service+UploadMedia,compose-post-service+RedisHashSet
1641973b21d1ddd0,11,19,compose-post-service+UploadUrls,compose-post-service+RedisHashSet
f991ae9b66c1f1fb,12,19,compose-post-service+UploadUserMentions,compose-post-service+RedisHashSet
74317f43bb977d6c,0,13,,nginx-web-server+/api/user/login
9fd6029c8bdac61,13,14,nginx-web-server+/api/user/login,nginx-web-server+Login
256f6468ccb2bdd7,14,16,nginx-web-server+Login,user-service+Login
24d05b47d281e2dd,15,19,compose-post-service+UploadCreator,compose-post-service+RedisHashSet
87b25186bf264fc0,16,17,user-service+Login,user-service+MmcGetLogin
dc6d88aeb87bb922,16,18,user-service+Login,user-service+MongoFindUser
2995a085681b6ee6,16,20,user-service+Login,user-service+MmcSetLogin
23343abe8e74d8d3,21,19,compose-post-service+UploadText,compose-post-service+RedisHashSet
de04610074c098e6,21,22,compose-post-service+UploadText,user-timeline-service+WriteUserTimeline
1adb1a2821f94652,21,25,compose-post-service+UploadText,post-storage-service+StorePost
a88cecaee953733f,21,28,compose-post-service+UploadText,write-home-timeline-service+FanoutHomeTimelines
71b3f9d37a3b31b0,22,23,user-timeline-service+WriteUserTimeline,user-timeline-service+MongoFindUser
35c5f372f662857d,22,24,user-timeline-service+WriteUserTimeline,user-timeline-service+MongoInsert
22dec522af0d5e14,22,27,user-timeline-service+WriteUserTimeline,user-timeline-service+RedisUpdate
b1150736661bd5ce,25,26,post-storage-service+StorePost,post-storage-service+MongoInsertPost
35f071bac7586208,28,29,write-home-timeline-service+FanoutHomeTimelines,social-graph-service+GetFollowers
4233fb80379983a8,28,33,write-home-timeline-service+FanoutHomeTimelines,write-home-timeline-service+RedisUpdate
ce61576fbc70759e,29,30,social-graph-service+GetFollowers,social-graph-service+RedisGet
b36219435a7a3119,29,31,social-graph-service+GetFollowers,social-graph-service+MongoFindUser
d844d5edc8158945,29,32,social-graph-service+GetFollowers,social-graph-service+RedisInsert
