nodeID,source,destination,source_call,destination_call
323a2fd57a4e56a2,0,1,,nginx-web-server+/
a9d8a913316b0f94,1,1,nginx-web-server+/,nginx-web-server+/
2100b32f113f684,0,2,,nginx-web-server+/api/user/login
2464fec13447797f,2,2,nginx-web-server+/api/user/login,nginx-web-server+/api/user/login
c34531c007d111a9,2,3,nginx-web-server+/api/user/login,nginx-web-server+Login
ef4185748d0f2156,3,4,nginx-web-server+Login,user-service+login_server
eb8c35c6a5cd37e6,4,5,user-service+login_server,user-service+user_mmc_get_client
e4cf145c8ea1cd3a,4,6,user-service+login_server,user-service+user_mongo_find_client
c7e0a2ba85b651a4,4,7,user-service+login_server,user-service+user_mmc_set_client
7a6ea41b26ebcc4,0,8,,nginx-web-server+/api/home-timeline/read
530b14c4f9bf7b27,8,8,nginx-web-server+/api/home-timeline/read,nginx-web-server+/api/home-timeline/read
bfa974493b22dd67,8,3,nginx-web-server+/api/home-timeline/read,nginx-web-server+Login
7ebbe7ac138f2558,3,9,nginx-web-server+Login,home-timeline-service+read_home_timeline_server
c27303e520525eac,9,10,home-timeline-service+read_home_timeline_server,home-timeline-service+read_home_timeline_redis_find_client
37a2fb3c321c1543,9,11,home-timeline-service+read_home_timeline_server,post-storage-service+post_storage_read_posts_server
2cd567b3c62d7475,0,12,,nginx-web-server+/api/user/get_follower
b798b4eb35a10bcc,12,12,nginx-web-server+/api/user/get_follower,nginx-web-server+/api/user/get_follower
fa36456dc3a1ce20,12,13,nginx-web-server+/api/user/get_follower,nginx-web-server+GetFollower
8b8bfd8476839464,13,14,nginx-web-server+GetFollower,social-graph-service+get_followers_server
b4a7a192ed011c82,14,15,social-graph-service+get_followers_server,social-graph-service+social_graph_redis_get_client
c18cd25391f0815d,14,16,social-graph-service+get_followers_server,social-graph-service+social_graph_mongo_find_client
d713a34f14750a92,14,17,social-graph-service+get_followers_server,social-graph-service+social_graph_redis_insert_client
1241f1099b867419,0,18,,nginx-web-server+/api/user/register
51a68a97beb95a4f,18,18,nginx-web-server+/api/user/register,nginx-web-server+/api/user/register
f82edb1508d446cd,18,19,nginx-web-server+/api/user/register,nginx-web-server+RegisterUser
f424aac946b7d849,19,20,nginx-web-server+RegisterUser,user-service+register_user_server
2d36a447d93e269b,0,21,,nginx-web-server+/wrk2-api/user/register
fb611f193e5455c3,21,21,nginx-web-server+/wrk2-api/user/register,nginx-web-server+/wrk2-api/user/register
d1649d33ffcaf449,21,22,nginx-web-server+/wrk2-api/user/register,nginx-web-server+register_client
451027a2bb3c5bfa,22,23,nginx-web-server+register_client,user-service+register_user_withid_server
c54b6be64b9c5196,23,24,user-service+register_user_withid_server,user-service+user_mongo_insert_cilent
6fb3542c88a1ba73,23,25,user-service+register_user_withid_server,social-graph-service+insert_user_server
e336220512763b81,25,26,social-graph-service+insert_user_server,social-graph-service+social_graph_mongo_insert_client
