Node,traceID,nodeID,node_pair,StartTime,Timestamp
0,b8f92900f49fe6c,b8f92900f49fe6c,"(0, 1)",1669527155409000,2022-11-27 05:32:35.409000
1,b8f92900f49fe6c,9508e386945aa9c1,"(1, 1)",1669527155409338,2022-11-27 05:32:35.409338
2,b8f92900f49fe6c,1e3220eb73124332,"(1, 2)",1669527155409989,2022-11-27 05:32:35.409989
3,b8f92900f49fe6c,d69ad5e01662b47d,"(2, 3)",1669527155410380,2022-11-27 05:32:35.410380
4,b8f92900f49fe6c,d88015dc9ebf6193,"(3, 4)",1669527155410467,2022-11-27 05:32:35.410467
5,b8f92900f49fe6c,6f02043806ff871c,"(3, 5)",1669527155410637,2022-11-27 05:32:35.410637
11,b8f92900f49fe6c,b812432314f8a430,"(4, 6)",1669527155410706,2022-11-27 05:32:35.410706
12,b8f92900f49fe6c,34297b5b6b300b7b,"(5, 7)",1669527155410787,2022-11-27 05:32:35.410787
13,b8f92900f49fe6c,705da686db6cc1b7,"(6, 8)",1669527155410985,2022-11-27 05:32:35.410985
14,b8f92900f49fe6c,b1543f1c3f1bffd5,"(6, 9)",1669527155411095,2022-11-27 05:32:35.411095
6,b8f92900f49fe6c,fea4c624717de953,"(3, 10)",1669527155411128,2022-11-27 05:32:35.411128
7,b8f92900f49fe6c,a694e3149399ebe0,"(3, 11)",1669527155411197,2022-11-27 05:32:35.411197
15,b8f92900f49fe6c,c6a75ed7aacc8232,"(8, 12)",1669527155411200,2022-11-27 05:32:35.411200
19,b8f92900f49fe6c,5c8ac94261f10566,"(12, 13)",1669527155411213,2022-11-27 05:32:35.411213
17,b8f92900f49fe6c,e4b10132eb8349c5,"(10, 14)",1669527155411373,2022-11-27 05:32:35.411373
16,b8f92900f49fe6c,49eaff4f71d4ed2e,"(9, 15)",1669527155411505,2022-11-27 05:32:35.411505
18,b8f92900f49fe6c,fd757bfd82fd26b6,"(11, 16)",1669527155411520,2022-11-27 05:32:35.411520
21,b8f92900f49fe6c,c383d5c2cf7fda52,"(15, 17)",1669527155411574,2022-11-27 05:32:35.411574
20,b8f92900f49fe6c,23b63e4023554db1,"(12, 18)",1669527155411844,2022-11-27 05:32:35.411844
8,b8f92900f49fe6c,75d84accb1ace651,"(3, 19)",1669527155413445,2022-11-27 05:32:35.413445
22,b8f92900f49fe6c,3c903a341c69de8,"(19, 20)",1669527155413563,2022-11-27 05:32:35.413563
