nodeID,source,destination,source_call,destination_call
145309cfc6db0061,0,1,,nginx-web-server+/wrk2-api/user-timeline/read
72c328da7b139d5d,1,2,nginx-web-server+/wrk2-api/user-timeline/read,nginx-web-server+ReadUserTimeline
b159fde6d4f1f91,2,9,nginx-web-server+ReadUserTimeline,user-timeline-service+read_user_timeline_server
19cd819d0568141f,0,3,,nginx-web-server+/wrk2-api/home-timeline/read
a83ed872b2a98f4e,3,4,nginx-web-server+/wrk2-api/home-timeline/read,nginx-web-server+read_home_timeline_client
6c2a4816041f3e62,4,5,nginx-web-server+read_home_timeline_client,home-timeline-service+read_home_timeline_server
2779a53d7c8100f2,5,6,home-timeline-service+read_home_timeline_server,home-timeline-service+read_home_timeline_redis_find_client
cf6facff3fdc055a,5,7,home-timeline-service+read_home_timeline_server,post-storage-service+post_storage_read_posts_server
f12606b8e678bb2f,7,8,post-storage-service+post_storage_read_posts_server,post-storage-service+post_storage_mmc_mget_client
6c2b5fa60b0c4192,9,10,user-timeline-service+read_user_timeline_server,user-timeline-service+read_user_timeline_redis_find_client
f6d7f532cfe70ae0,9,7,user-timeline-service+read_user_timeline_server,post-storage-service+post_storage_read_posts_server
c3d3a45f1803b472,7,11,post-storage-service+post_storage_read_posts_server,post-storage-service+mongo_find_client
b71d652a09a3b99a,7,12,post-storage-service+post_storage_read_posts_server,post-storage-service+mmc_set_client
1734356e087f71f4,0,13,,nginx-web-server+/api/user/login
ae34189aa4dd73b7,13,14,nginx-web-server+/api/user/login,nginx-web-server+Login
20296fd4a20fbdef,14,15,nginx-web-server+Login,user-service+login_server
5b2a983034edf793,15,16,user-service+login_server,user-service+user_mmc_get_client
e4897539c91e08a3,15,17,user-service+login_server,user-service+user_mongo_find_client
1891269a31247b78,3,3,nginx-web-server+/wrk2-api/home-timeline/read,nginx-web-server+/wrk2-api/home-timeline/read
dbef5a85b1a0f7c,0,18,,nginx-web-server+/wrk2-api/post/compose
c0d3103705f8196,18,19,nginx-web-server+/wrk2-api/post/compose,nginx-web-server+compose_post_client
ee80b2836f7d8427,19,20,nginx-web-server+compose_post_client,compose-post-service+compose_post_server
1e8e1e0938c1c4ac,20,21,compose-post-service+compose_post_server,compose-post-service+compose_unique_id_client
14d54c0b84890fe7,20,22,compose-post-service+compose_post_server,compose-post-service+compose_creator_client
d1264e5e9e530e4f,20,23,compose-post-service+compose_post_server,compose-post-service+compose_text_client
9a0b81a25abfa0f1,20,26,compose-post-service+compose_post_server,compose-post-service+compose_media_client
5055e483e5e82065,20,36,compose-post-service+compose_post_server,compose-post-service+store_post_client
c05a27aff4531266,20,39,compose-post-service+compose_post_server,compose-post-service+write_user_timeline_client
36fc27b087544830,20,43,compose-post-service+compose_post_server,compose-post-service+write_home_timeline_client
249e1d93a589d8bf,21,25,compose-post-service+compose_unique_id_client,unique-id-service+compose_unique_id_server
5f50bb91d32803fd,22,24,compose-post-service+compose_creator_client,user-service+compose_creator_server
3e5ec9d0e6cbfb3,23,27,compose-post-service+compose_text_client,text-service+compose_text_server
b298f36ee2e9c57b,26,28,compose-post-service+compose_media_client,media-service+compose_media_server
c12589d46efcdb70,27,29,text-service+compose_text_server,text-service+compose_urls_client
c5331ef0c70cfc45,27,30,text-service+compose_text_server,text-service+compose_user_mentions_client
cef12523d7c167b7,29,31,text-service+compose_urls_client,url-shorten-service+compose_urls_server
483328b17db5d017,30,33,text-service+compose_user_mentions_client,user-mention-service+compose_user_mentions_server
