traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value,timeStamp
4943622728650fea,24d05b47d281e2dd,compose-post-service,RedisHashSet,1635326802143551,1635326802143,4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,e9ece7653c3acf2c,4943622728650fea,,,,2021-10-27 09:26:42.143551
4943622728650fea,1641973b21d1ddd0,compose-post-service,RedisHashSet,1635326802143657,1635326802143,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,f7a7a6c2d9fca27e,4943622728650fea,,,,2021-10-27 09:26:42.143657
4943622728650fea,f991ae9b66c1f1fb,compose-post-service,RedisHashSet,1635326802143782,1635326802143,4626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,fbbaeacb89bc9b08,4943622728650fea,,,,2021-10-27 09:26:42.143782
4943622728650fea,777df3d1528e12f0,compose-post-service,RedisHashSet,1635326802145247,1635326802145,3858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,a4155eaba1ae19e,4943622728650fea,,,,2021-10-27 09:26:42.145247
4943622728650fea,8fcacd03104e4f56,compose-post-service,RedisHashSet,1635326802145436,1635326802145,3482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,16a2e44c2bb5f6bf,4943622728650fea,,,,2021-10-27 09:26:42.145436
74317f43bb977d6c,2995a085681b6ee6,user-service,MmcSetLogin,1635326802146503,1635326802146,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,256f6468ccb2bdd7,74317f43bb977d6c,,,,2021-10-27 09:26:42.146503
4943622728650fea,87e057bcc176d847,compose-post-service,UploadText,1635326802149411,1635326802149,22853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d63eab044df64f01,4943622728650fea,,,,2021-10-27 09:26:42.149411
4943622728650fea,23343abe8e74d8d3,compose-post-service,RedisHashSet,1635326802149430,1635326802149,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,87e057bcc176d847,4943622728650fea,,,,2021-10-27 09:26:42.149430
4943622728650fea,de04610074c098e6,user-timeline-service,WriteUserTimeline,1635326802152769,1635326802152,7936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,87e057bcc176d847,4943622728650fea,,,,2021-10-27 09:26:42.152769
4943622728650fea,71b3f9d37a3b31b0,user-timeline-service,MongoFindUser,1635326802152833,1635326802152,7912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,de04610074c098e6,4943622728650fea,,,,2021-10-27 09:26:42.152833
4943622728650fea,35c5f372f662857d,user-timeline-service,MongoInsert,1635326802153712,1635326802153,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,de04610074c098e6,4943622728650fea,,,,2021-10-27 09:26:42.153712
4943622728650fea,1adb1a2821f94652,post-storage-service,StorePost,1635326802154356,1635326802154,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,87e057bcc176d847,4943622728650fea,,,,2021-10-27 09:26:42.154356
