traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags,references,references.0.refType,references.0.spanID,references.0.traceID
70e6da5116dd1c5,b5f92c82e6ef98e2,nginx-web-server,register_client,1669361909231510,1669361909231,25747,,,CHILD_OF,3612083a93b02564,70e6da5116dd1c5
251808373858876e,dc64f4a0be577328,nginx-web-server,register_client,1669361909232104,1669361909232,41054,,,CHILD_OF,89e5016665520fc6,251808373858876e
1574deef053c7a28,d196d738550a7c08,nginx-web-server,register_client,1669361909232711,1669361909232,42766,,,CHILD_OF,2cfb0d1eb1556f08,1574deef053c7a28
3226fdfb7792d92e,e5b78155f8bcd0d9,nginx-web-server,register_client,1669361909233308,1669361909233,44849,,,CHILD_OF,36c9889c30df2663,3226fdfb7792d92e
6020096aaaefd23,76680cc8846b66b,nginx-web-server,register_client,1669361909234380,1669361909234,51202,,,CHILD_OF,6085b0fa9fd99e5c,6020096aaaefd23
16d3680227d02ac9,c22bc345db62e9b0,nginx-web-server,register_client,1669361909234451,1669361909234,189094,,,CHILD_OF,8ce97d6cc1d08b9d,16d3680227d02ac9
2445b2f270348e63,73760dce4fdb393e,nginx-web-server,register_client,1669361909234609,1669361909234,179657,,,CHILD_OF,9aba053e29701e3d,2445b2f270348e63
1e6d3f3116455743,6d70d84d4e55d1a,nginx-web-server,register_client,1669361909234650,1669361909234,48718,,,CHILD_OF,33a783dbd0b3a5e9,1e6d3f3116455743
2dc77b716eec907e,4bf5854696e50660,nginx-web-server,register_client,1669361909234792,1669361909234,173870,,,CHILD_OF,f482f0d6f6de4d74,2dc77b716eec907e
3303734a8405ad54,3a21ed40b1e9a986,nginx-web-server,register_client,1669361909234823,1669361909234,174620,,,CHILD_OF,15b69b60be52214b,3303734a8405ad54
24aa0bae9894345f,515a8402fddf980b,nginx-web-server,register_client,1669361909235049,1669361909235,50040,,,CHILD_OF,c5af97152c431240,24aa0bae9894345f
238ba83ed1fcee97,3a0f906ba3261272,nginx-web-server,register_client,1669361909235300,1669361909235,51380,,,CHILD_OF,f442578b500a1b73,238ba83ed1fcee97
1721e6345ce96a29,d3e0be7546ab819e,nginx-web-server,register_client,1669361909235865,1669361909235,169813,,,CHILD_OF,effd25e236c0a0f8,1721e6345ce96a29
1a1c31456c620d7a,e44866b99e62092a,nginx-web-server,register_client,1669361909236161,1669361909236,55639,,,CHILD_OF,195ee066bcb7879c,1a1c31456c620d7a
