traceID,spanID,process.serviceName,operationName,startTimeMillis,startTime,tags,references,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value
118203451860afa9,118203451860afa9,nginx-web-server,/wrk2-api/home-timeline/read,1669531481222,1669531481222000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35282,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/home-timeline/read?user_id=486&start=51&stop=61,string,http.host,localhost:8080,,,,,,
118203451860afa9,cbce84498334de97,nginx-web-server,/wrk2-api/home-timeline/read,1669531481222,1669531481222046,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35282,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/home-timeline/read?user_id=486&start=51&stop=61,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,118203451860afa9,118203451860afa9,,,
118203451860afa9,fed3502554e70e72,nginx-web-server,read_home_timeline_client,1669531481222,1669531481222095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,cbce84498334de97,118203451860afa9,,,
118203451860afa9,d36e54b7e9e9e7a7,home-timeline-service,read_home_timeline_server,1669531481222,1669531481222286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,fed3502554e70e72,118203451860afa9,,,
118203451860afa9,e70e2e9b5f2ca8db,home-timeline-service,read_home_timeline_redis_find_client,1669531481222,1669531481222296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d36e54b7e9e9e7a7,118203451860afa9,,,
118203451860afa9,b0d2d18d725903f5,post-storage-service,post_storage_read_posts_server,1669531481222,1669531481222535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d36e54b7e9e9e7a7,118203451860afa9,,,
118203451860afa9,9f46dfc02c8a2f1a,post-storage-service,post_storage_mmc_mget_client,1669531481222,1669531481222611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b0d2d18d725903f5,118203451860afa9,,,
118203451860afa9,14ae5bc51c9880be,post-storage-service,mongo_find_client,1669531481222,1669531481222830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b0d2d18d725903f5,118203451860afa9,,,
118203451860afa9,a2cf0a21367085c9,post-storage-service,mmc_set_client,1669531481224,1669531481224405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b0d2d18d725903f5,118203451860afa9,,,
1b6d9a5cf47b0732,1b6d9a5cf47b0732,nginx-web-server,/wrk2-api/home-timeline/read,1669531481684,1669531481684000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,172.18.0.1:35168,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/home-timeline/read?user_id=201&start=88&stop=98,string,http.host,localhost:8080,,,,,,
1b6d9a5cf47b0732,8797ede96762e89b,nginx-web-server,/wrk2-api/home-timeline/read,1669531481684,1669531481684486,,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,172.18.0.1:35168,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/home-timeline/read?user_id=201&start=88&stop=98,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,1b6d9a5cf47b0732,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,2a504359cfb48e88,nginx-web-server,read_home_timeline_client,1669531481684,1669531481684550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,8797ede96762e89b,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,62d8f3d1f614d3c7,home-timeline-service,read_home_timeline_server,1669531481684,1669531481684764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2a504359cfb48e88,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,8200863909776dda,home-timeline-service,read_home_timeline_redis_find_client,1669531481684,1669531481684772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,62d8f3d1f614d3c7,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,2e016ca7ee3ed7f7,post-storage-service,post_storage_read_posts_server,1669531481685,1669531481685008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,62d8f3d1f614d3c7,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,775d90f73c94d5b8,post-storage-service,post_storage_mmc_mget_client,1669531481685,1669531481685068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2e016ca7ee3ed7f7,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,30dc53c9f41cde8c,post-storage-service,mongo_find_client,1669531481685,1669531481685473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2e016ca7ee3ed7f7,1b6d9a5cf47b0732,,,
1b6d9a5cf47b0732,897cbf31d7d5e67c,post-storage-service,mmc_set_client,1669531481687,1669531481687243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2e016ca7ee3ed7f7,1b6d9a5cf47b0732,,,
1f8ba157e45d1995,1f8ba157e45d1995,nginx-web-server,/wrk2-api/post/compose,1669531481814,1669531481814000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35098,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/post/compose,string,http.host,localhost:8080,,,,,,
1f8ba157e45d1995,3d09df527d1ab464,nginx-web-server,/wrk2-api/post/compose,1669531481814,1669531481814622,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35098,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/post/compose,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,1f8ba157e45d1995,1f8ba157e45d1995,,,
1f8ba157e45d1995,17e26d9b72c19e9,nginx-web-server,compose_post_client,1669531481814,1669531481814758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,3d09df527d1ab464,1f8ba157e45d1995,,,
1f8ba157e45d1995,2016316f035d5171,compose-post-service,compose_post_server,1669531481815,1669531481815007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,17e26d9b72c19e9,1f8ba157e45d1995,,,
1f8ba157e45d1995,853b26d745a6cd85,compose-post-service,compose_text_client,1669531481815,1669531481815119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2016316f035d5171,1f8ba157e45d1995,,,
1f8ba157e45d1995,22f1fcfe923d50ae,compose-post-service,compose_unique_id_client,1669531481815,1669531481815174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2016316f035d5171,1f8ba157e45d1995,,,
1f8ba157e45d1995,9672401761887ad3,text-service,compose_text_server,1669531481815,1669531481815228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,853b26d745a6cd85,1f8ba157e45d1995,,,
1f8ba157e45d1995,365d9bc689ed997e,compose-post-service,compose_media_client,1669531481815,1669531481815242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2016316f035d5171,1f8ba157e45d1995,,,
1f8ba157e45d1995,9cb8db25cb120d41,compose-post-service,compose_creator_client,1669531481815,1669531481815337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2016316f035d5171,1f8ba157e45d1995,,,
1f8ba157e45d1995,54172c3475872803,media-service,compose_media_server,1669531481815,1669531481815451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,365d9bc689ed997e,1f8ba157e45d1995,,,
1f8ba157e45d1995,a57486c2db686195,text-service,compose_urls_client,1669531481815,1669531481815500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,9672401761887ad3,1f8ba157e45d1995,,,
1f8ba157e45d1995,5caf0a25d0ab3e23,user-service,compose_creator_server,1669531481815,1669531481815602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,9cb8db25cb120d41,1f8ba157e45d1995,,,
1f8ba157e45d1995,13e8c0ade39a83a5,unique-id-service,compose_unique_id_server,1669531481815,1669531481815602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,22f1fcfe923d50ae,1f8ba157e45d1995,,,
1f8ba157e45d1995,c71cd751405ab182,text-service,compose_user_mentions_client,1669531481815,1669531481815687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,9672401761887ad3,1f8ba157e45d1995,,,
