traceID,spanID,process.serviceName,operationName,startTimeMillis,startTime,tags,references,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value
19f7c98971b97c95,269e10d99d07b46,compose-post-service,compose_media_client,1669667523571,1669667523571654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,de100b9835341e68,19f7c98971b97c95,,,
19f7c98971b97c95,27de9b44a51664b,compose-post-service,compose_creator_client,1669667523571,1669667523571694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,de100b9835341e68,19f7c98971b97c95,,,
19f7c98971b97c95,411277ba61eef7ca,text-service,compose_text_server,1669667523571,1669667523571752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,83dd29290ca9ecf2,19f7c98971b97c95,,,
19f7c98971b97c95,774b9723332abf,unique-id-service,compose_unique_id_server,1669667523571,1669667523571791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,e395d8149c5e26f8,19f7c98971b97c95,,,
19f7c98971b97c95,4a3a8d7d8ef71548,media-service,compose_media_server,1669667523571,1669667523571944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,269e10d99d07b46,19f7c98971b97c95,,,
19f7c98971b97c95,aaeaf95a63842d63,text-service,compose_urls_client,1669667523572,1669667523572053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,411277ba61eef7ca,19f7c98971b97c95,,,
19f7c98971b97c95,22444a90075a8d49,user-service,compose_creator_server,1669667523572,1669667523572137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,27de9b44a51664b,19f7c98971b97c95,,,
19f7c98971b97c95,94c17610d3b1314a,text-service,compose_user_mentions_client,1669667523572,1669667523572212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,411277ba61eef7ca,19f7c98971b97c95,,,
19f7c98971b97c95,7bd6c1f8ecdb2468,url-shorten-service,compose_urls_server,1669667523572,1669667523572216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,aaeaf95a63842d63,19f7c98971b97c95,,,
19f7c98971b97c95,c4b6db1509fd3f42,user-mention-service,compose_user_mentions_server,1669667523572,1669667523572377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,94c17610d3b1314a,19f7c98971b97c95,,,
19f7c98971b97c95,597d8ae750d3e98d,user-mention-service,compose_user_mentions_memcached_get_client,1669667523572,1669667523572394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,c4b6db1509fd3f42,19f7c98971b97c95,,,
19f7c98971b97c95,b700143e639c6dc,url-shorten-service,url_mongo_insert_client,1669667523572,1669667523572489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,7bd6c1f8ecdb2468,19f7c98971b97c95,,,
19f7c98971b97c95,8f191820429ff0b4,user-mention-service,compose_user_mentions_mongo_find_client,1669667523573,1669667523573091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,c4b6db1509fd3f42,19f7c98971b97c95,,,
